osm_id,highway,name,name:de,name:it,short_name
215655344,unclassified,Via Santi Cosma e Damiano,,,
215655387,trunk_link,Strade dell'Interporto,,,
215655395,trunk_link,Strade dell'Interporto,,,
216745509,secondary,Via del Brennero,,,
216745512,residential,Via della Malvasia,,,Via Malvasia
217020296,residential,Via Monte Baldo,,,
218242895,trunk,Strada Gardesana di Trento,,,
218242899,trunk,Strada Gardesana di Trento,,,
220921089,tertiary,Via di Melta,,,
221134284,trunk_link,Via Bassano,,,
221134288,service,Via al Riparo Gaban,,,
221475927,unclassified,Via di Zél,,,
221475929,service,Via di Zél,,,
221475933,residential,Via di Zél,,,
221475938,unclassified,Via di Zél,,,
221475942,unclassified,Via dei Masetti,,,
221475943,residential,Via delle Marnighe,,,
222643011,residential,Via della Malvasia,,,Via Malvasia
222727435,unclassified,Via della Malvasia,,,Via Malvasia
222745282,secondary,Via Francesco Petrarca,,,
222747882,unclassified,Via Jacopo Aconcio,,,
222748808,secondary,Via Alessandro Manzoni,,,
222749669,secondary,Via Francesco Petrarca,,,
222989394,unclassified,Via della Pontara,,,
223001538,residential,Piazza Santa Maria Maggiore,,,
223001539,residential,Piazza Santa Maria Maggiore,,,
223006226,tertiary,Via Giovanni Segantini,,,
223006672,tertiary,Via Andrea Pozzo,,,
223006673,residential,Piazza Dante,,,
223008813,pedestrian,Via Giuseppe Garibaldi,,,
223023923,secondary,Via del Brennero,,,
223924281,unclassified,Via del Brennero,,,
224216191,track,Strada Casara - Baita Laura,,,
224216192,track,Strada dei comuni,,,
224216196,track,Strada Casara - Baita Laura,,,
224636692,tertiary,Via del Commercio,,,
224636725,unclassified,Via del Commercio,,,
225109819,residential,Via Vittorio Veneto,,,
226235027,unclassified,Via della Resistenza,,,
226623956,pedestrian,Via Mantova,,,
227633707,residential,Piazza di Piedicastello,,,
227756252,unclassified,Via Clementino Vannetti,,,
227756254,unclassified,Via Clementino Vannetti,,,
227756256,unclassified,Via Clementino Vannetti,,,
227756257,secondary,Via del Brennero,,,
227756258,unclassified,Largo Nazario Sauro,,,
228044900,unclassified,Vicolo San Martino,,,
228044902,unclassified,Vicolo San Martino,,,
228446051,unclassified,Località Martignano,,,
228446053,service,Via al maso Caresia,,,
228446066,track,Via degli Altenburger,,,
229005328,trunk_link,Strade dell'Interporto,,,
229005329,trunk_link,Strade dell'Interporto,,,
229059969,trunk,Strada Gardesana di Trento,,,
229059974,trunk,Strada del Bus de Véla,,,
229059979,trunk,Tangenziale Ovest,,,
229059980,trunk,Tangenziale Ovest,,,
229059981,trunk,Tangenziale Ovest,,,
229059982,trunk,Tangenziale Ovest,,,
229059983,trunk,Tangenziale Ovest,,,
229059984,trunk,Tangenziale Ovest,,,
229059985,trunk,Tangenziale Ovest,,,
229059986,trunk,Tangenziale Ovest,,,
229059990,unclassified,Località I Laghetti,,,
229059994,unclassified,Località I Laghetti,,,
229137174,secondary,Via Brennero,,,
229210637,pedestrian,Via cardinale Cristoforo Madruzzo,,,
229214492,pedestrian,Via Adalberto Libera,,,
229214494,footway,Passaggio Giuseppe Sebesta,,,
229776020,unclassified,Via Antonio Abondi,,,
230578443,track,Strada Casara - Baita Laura,,,
232381344,footway,Via Adalberto Libera,,,
232381345,pedestrian,Viale Adriano Olivetti,,,
232711073,pedestrian,Passaggio Ezio Clementel,,,
232711074,pedestrian,Passaggio Giuseppe Sebesta,,,
233040673,track,Strada della Flora,,,
235978872,trunk,Strada Statale 47 della Valsugana,,,
236132872,residential,Via Nedda Falzolgher,,,
239123893,residential,Via Roberto da Sanseverino,,,
239818712,residential,Via Giacomo Matteotti,,,
239979842,footway,Vicolo Galasso,,,
239979855,footway,Vicolo dell'Adige,,,
239979863,footway,Vicolo del Vò,,,
239979877,pedestrian,Passaggio Teatro Osele,,,
239979891,residential,Via San Pietro,,,
